"DATA";"PROVA";"VARIANT";"RECOMPTE"
2021-01-21 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);9
2021-01-21 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);4
2021-01-21 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);11
2021-01-21 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);28
2021-01-22 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);4
2021-01-22 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);99
2021-01-22 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);4
2021-01-22 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);18
2021-01-22 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);22
2021-01-23 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);6
2021-01-23 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);93
2021-01-23 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);5
2021-01-23 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);9
2021-01-23 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);5
2021-01-24 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);13
2021-01-24 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);45
2021-01-24 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);1
2021-01-24 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);8
2021-01-24 00:00:00.000;seqüenciació completa;Beta (B.1.351 i subvariants);1
2021-01-24 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);7
2021-01-25 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);19
2021-01-25 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);231
2021-01-25 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);1
2021-01-25 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);17
2021-01-25 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);22
2021-01-26 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);55
2021-01-26 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);284
2021-01-26 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);10
2021-01-26 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);16
2021-01-26 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);18
2021-01-27 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);50
2021-01-27 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);361
2021-01-27 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);2
2021-01-27 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);18
2021-01-27 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);7
2021-01-28 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);49
2021-01-28 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);285
2021-01-28 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);14
2021-01-28 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);13
2021-01-28 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);25
2021-01-29 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);89
2021-01-29 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);521
2021-01-29 00:00:00.000;(gen S): seqüenciació parcial;Alfa (B.1.1.7);6
2021-01-29 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);12
2021-01-29 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);12
2021-01-29 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);38
2021-01-30 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);52
2021-01-30 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);328
2021-01-30 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);11
2021-01-30 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);9
2021-01-30 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);24
2021-01-31 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);15
2021-01-31 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);129
2021-01-31 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);4
2021-01-31 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);9
2021-01-31 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);12
2021-02-01 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);82
2021-02-01 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);253
2021-02-01 00:00:00.000;(gen S): seqüenciació parcial;Alfa (B.1.1.7);8
2021-02-01 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);32
2021-02-01 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);28
2021-02-01 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);65
2021-02-02 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);87
2021-02-02 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);223
2021-02-02 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Estiu 2020, espanyola (B.1.177);2
2021-02-02 00:00:00.000;(gen S): seqüenciació parcial;Alfa (B.1.1.7);5
2021-02-02 00:00:00.000;(gen S): seqüenciació parcial;Altres seqüències de virus complet (Altres);1
2021-02-02 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);22
2021-02-02 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);22
2021-02-02 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);45
2021-02-03 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);85
2021-02-03 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);341
2021-02-03 00:00:00.000;(gen S): seqüenciació parcial;Alfa (B.1.1.7);4
2021-02-03 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);33
2021-02-03 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);12
2021-02-03 00:00:00.000;seqüenciació completa;Beta (B.1.351 i subvariants);1
2021-02-03 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);38
2021-02-04 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);56
2021-02-04 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);186
2021-02-04 00:00:00.000;(gen S): seqüenciació parcial;Alfa (B.1.1.7);4
2021-02-04 00:00:00.000;(gen S): seqüenciació parcial;Altres seqüències de virus complet (Altres);2
2021-02-04 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);11
2021-02-04 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);7
2021-02-04 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);14
2021-02-05 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);55
2021-02-05 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);101
2021-02-05 00:00:00.000;(gen S): seqüenciació parcial;Alfa (B.1.1.7);4
2021-02-05 00:00:00.000;(gen S): seqüenciació parcial;Altres seqüències de virus complet (Altres);5
2021-02-05 00:00:00.000;(gen S): seqüenciació parcial;Gamma (P.1 i subvariants);3
2021-02-05 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);8
2021-02-05 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);8
2021-02-05 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);18
2021-02-05 00:00:00.000;seqüenciació completa;Gamma (P.1 i subvariants);3
2021-02-06 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);78
2021-02-06 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);125
2021-02-06 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);7
2021-02-06 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);3
2021-02-06 00:00:00.000;seqüenciació completa;Beta (B.1.351 i subvariants);1
2021-02-06 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);4
2021-02-07 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);10
2021-02-07 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);34
2021-02-07 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);12
2021-02-07 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);4
2021-02-07 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);12
2021-02-08 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);119
2021-02-08 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);227
2021-02-08 00:00:00.000;(gen S): seqüenciació parcial;Altres seqüències de virus complet (Altres);3
2021-02-08 00:00:00.000;(gen S): seqüenciació parcial;Estiu 2020, espanyola (B.1.177);6
2021-02-08 00:00:00.000;(gen S): seqüenciació parcial;Gamma (P.1 i subvariants);1
2021-02-08 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);24
2021-02-08 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);12
2021-02-08 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);22
2021-02-08 00:00:00.000;seqüenciació completa;Gamma (P.1 i subvariants);1
2021-02-09 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);148
2021-02-09 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);215
2021-02-09 00:00:00.000;(gen S): seqüenciació parcial;Estiu 2020, espanyola (B.1.177);4
2021-02-09 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);31
2021-02-09 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);11
2021-02-09 00:00:00.000;seqüenciació completa;Beta (B.1.351 i subvariants);1
2021-02-09 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);25
2021-02-10 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);80
2021-02-10 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);80
2021-02-10 00:00:00.000;(gen S): seqüenciació parcial;Estiu 2020, espanyola (B.1.177);3
2021-02-10 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);29
2021-02-10 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);14
2021-02-10 00:00:00.000;seqüenciació completa;B.1.575;1
2021-02-10 00:00:00.000;seqüenciació completa;Beta (B.1.351 i subvariants);1
2021-02-10 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);19
2021-02-10 00:00:00.000;seqüenciació completa;Eta (B.1.525);1
2021-02-10 00:00:00.000;seqüenciació completa;Gamma (P.1 i subvariants);1
2021-02-11 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);135
2021-02-11 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);166
2021-02-11 00:00:00.000;(gen S): seqüenciació parcial;Alfa (B.1.1.7);3
2021-02-11 00:00:00.000;(gen S): seqüenciació parcial;Circulant (CIRC);4
2021-02-11 00:00:00.000;(gen S): seqüenciació parcial;Gamma (P.1 i subvariants);1
2021-02-11 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);11
2021-02-11 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);8
2021-02-11 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);3
2021-02-11 00:00:00.000;seqüenciació completa;Eta (B.1.525);1
2021-02-11 00:00:00.000;seqüenciació completa;Gamma (P.1 i subvariants);1
2021-02-12 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);66
2021-02-12 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);155
2021-02-12 00:00:00.000;(gen S): seqüenciació parcial;Alfa (B.1.1.7);6
2021-02-12 00:00:00.000;(gen S): seqüenciació parcial;Altres seqüències de virus complet (Altres);3
2021-02-12 00:00:00.000;(gen S): seqüenciació parcial;Beta (B.1.351 i subvariants);1
2021-02-12 00:00:00.000;(gen S): seqüenciació parcial;Circulant (CIRC);14
2021-02-12 00:00:00.000;(gen S): seqüenciació parcial;Estiu 2020, espanyola (B.1.177);4
2021-02-12 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);8
2021-02-12 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);11
2021-02-12 00:00:00.000;seqüenciació completa;Beta (B.1.351 i subvariants);2
2021-02-12 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);13
2021-02-13 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);47
2021-02-13 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);89
2021-02-13 00:00:00.000;(gen S): seqüenciació parcial;Circulant (CIRC);1
2021-02-13 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);5
2021-02-13 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);5
2021-02-13 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);5
2021-02-14 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);27
2021-02-14 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);13
2021-02-14 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);4
2021-02-14 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);3
2021-02-14 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);2
2021-02-15 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);85
2021-02-15 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);190
2021-02-15 00:00:00.000;(gen S): seqüenciació parcial;Estiu 2020, espanyola (B.1.177);5
2021-02-15 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);34
2021-02-15 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);17
2021-02-15 00:00:00.000;seqüenciació completa;Beta (B.1.351 i subvariants);1
2021-02-15 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);28
2021-02-16 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);189
2021-02-16 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);123
2021-02-16 00:00:00.000;(gen S): seqüenciació parcial;Circulant (CIRC);3
2021-02-16 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);53
2021-02-16 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);13
2021-02-16 00:00:00.000;seqüenciació completa;Beta (B.1.351 i subvariants);2
2021-02-16 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);19
2021-02-16 00:00:00.000;seqüenciació completa;Eta (B.1.525);1
2021-02-17 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);134
2021-02-17 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);104
2021-02-17 00:00:00.000;(gen S): seqüenciació parcial;Alfa (B.1.1.7);1
2021-02-17 00:00:00.000;(gen S): seqüenciació parcial;Circulant (CIRC);3
2021-02-17 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);37
2021-02-17 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);16
2021-02-17 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);17
2021-02-17 00:00:00.000;seqüenciació completa;Eta (B.1.525);1
2021-02-17 00:00:00.000;seqüenciació completa;Zeta (P.2);1
2021-02-18 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);163
2021-02-18 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);120
2021-02-18 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);51
2021-02-18 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);10
2021-02-18 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);20
2021-02-18 00:00:00.000;seqüenciació completa;Zeta (P.2);1
2021-02-19 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);82
2021-02-19 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);105
2021-02-19 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);18
2021-02-19 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);2
2021-02-19 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);12
2021-02-20 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);30
2021-02-20 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);26
2021-02-20 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);5
2021-02-20 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);2
2021-02-20 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);2
2021-02-21 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);11
2021-02-21 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);4
2021-02-21 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);14
2021-02-21 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);1
2021-02-21 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);6
2021-02-22 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);300
2021-02-22 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);467
2021-02-22 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);62
2021-02-22 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);19
2021-02-22 00:00:00.000;seqüenciació completa;Beta (B.1.351 i subvariants);1
2021-02-22 00:00:00.000;seqüenciació completa;Detectada 1ª vegada a Mayotte (A.27);2
2021-02-22 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);29
2021-02-23 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);304
2021-02-23 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);103
2021-02-23 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);73
2021-02-23 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);16
2021-02-23 00:00:00.000;seqüenciació completa;B.1.575.1;1
2021-02-23 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);20
2021-02-23 00:00:00.000;seqüenciació completa;Gamma (P.1 i subvariants);1
2021-02-24 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);143
2021-02-24 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);64
